line_id,regret_type,progress_level,condition,line,visual_focus,priority,batch
DL_BOSS_01,boss_low_hp,high,Boss血量低于15%,他在颤抖……但你先倒下了。,Boss血条放大并裂光,P0,0
DL_BOSS_02,boss_low_hp,high,Boss血量低于15%,他的炉心已经裂开，只差最后一剑。,Boss核心裂纹扩散,P0,0
DL_BOSS_03,boss_low_hp,high,Boss血量低于15%,胜利就在他的影子里，你差一步就能走进去。,Boss影子压过玩家尸身,P0,0
DL_DAO_01,dao_almost,high,道统进度大于等于80%,道将成而身先陨……此为修行之憾。,道统最后槽位闪烁,P0,0
DL_DAO_02,dao_almost,high,道统进度大于等于80%,成道只差一步……这一步，留到下一世。,缺失槽位发出暗光,P0,0
DL_DAO_03,dao_almost,high,道统进度大于等于80%,道谱只余一痕，下一世可续。,道谱卷轴未合拢,P0,0
DL_POWER_01,dao_power_high,high,道势大于等于80%,天地之势已聚……只差最后一步。,道势条停在满值前一格,P0,0
DL_POWER_02,dao_power_high,high,道势大于等于80%,道势盈满在即，却断在了门槛前。,道势数字跳动后熄灭,P0,0
DL_POWER_03,dao_power_high,high,道势大于等于80%,只差一击……天地就能听见你。,角色手中灵光散开,P0,0
DL_COMBO_01,combo_broken,medium,连击大于等于50且正在持续,道韵奔流而中断……可惜。,连击数字倒数归零,P0,0
DL_COMBO_02,combo_broken,medium,连击大于等于50且正在持续,那一口气没接住，满场道韵随你散了。,连击尾焰断裂,P0,0
DL_COMBO_03,combo_broken,medium,连击大于等于50且正在持续,你已经踏上节奏，只是没能踩到最后一拍。,节奏光环碎成小点,P0,0
DL_ROOM_01,missed_room_momentum,medium,房间势高潮事件尚未触发,你没有等到那一刻。,房间势图标变灰,P0,0
DL_ROOM_02,missed_room_momentum,medium,房间势高潮事件尚未触发,雷池将满，裂地将燃，可你倒在前一息。,房间地形光芒熄灭,P0,0
DL_ROOM_03,missed_room_momentum,medium,房间势高潮事件尚未触发,这片天地已经起势，只是没来得及回应你。,天象云层收束,P0,0
DL_PET_01,pet_alive,medium,灵宠还在场但玩家死亡,它还在等你的指令……,灵宠停在玩家身边,P1,1
DL_PET_02,pet_alive,medium,灵宠还在场但玩家死亡,灵宠还想扑向你，却晚了一瞬。,灵宠冲刺被慢动作定格,P1,1
DL_PET_03,pet_alive,medium,灵宠还在场但玩家死亡,它守住了最后一口灵光，却守不住这一世。,灵宠护光碎裂,P1,1
DL_LOW_01,generic_low,low,无高优先遗憾,这一世的路还未走完。,远处道路被雾吞没,P0,0
DL_LOW_02,generic_low,low,无高优先遗憾,你看见了方向，只是还没走近。,远处微光闪烁,P0,0
DL_LOW_03,generic_low,low,无高优先遗憾,尘土盖住脚印，但道心还未冷。,地面脚印被风吹散,P0,0
