batch,item_type,item_id,name,goal,acceptance
0,path,sword,剑修,验证近战身份和剑芒天象联动,玩家3分钟内能说出自己是剑修且不是远程法修
0,path,caster,法修,保留远程手感并验证元素弹道联动,玩家能通过法珠和属性弹理解法修身份
0,path,talisman,符修,验证投符落地和延迟引爆,玩家能感到符修是布场而不是普通远程
0,weapon,qing_feng_sword,青锋剑,验证三段斩和近中距离,第三段剑芒能触发至少1个天象连锁
0,weapon,starter_orb,素玉法珠,验证远程法媒,火弹能点燃裂地或雷弹能接入积水导电
0,weapon,san_cai_flag,三才符旗,验证符阵布场,落符位置有明确视觉反馈
0,weather,fire,烈阳,验证裂地爆燃,首局第2房能稳定看到一次爆燃爽点
0,weather,thunder,雷暴,验证积水导电,10局内玩家至少触发一次导电连锁
0,weather,rain,灵雨,验证湿地和回复,玩家能把雨理解为机会而不是纯皮肤
0,enemy,wild_wolf,妖狼,验证基础贴脸怪,玩家能用普攻和闪避稳定处理
0,enemy,crossbow_cultivator,弩修,验证远程读招,玩家能看线躲狙击
0,enemy,shield_guard,护阵者,验证优先击杀目标,玩家能意识到先杀护阵者收益更高
0,reward,lei_ji_mu_mingwen,雷击木铭纹,验证武器接入天象,剑修拿到后打法明显变化
0,event,battle_gift,天地馈赠,验证低谷补救,玩家濒死时看到机会而不是被系统硬救
0,feedback,hit_heavy,重命中反馈,验证每一下重击都能被感知,第三段普攻或重击必须有停顿/震屏/大飘字之一
0,feedback,chain_trigger,连锁触发反馈,验证隐藏连锁真的爽,首次连锁必须有画面短亮和发现标签
0,boss,fire_furnace_guard,火纹炉卫,验证Boss武器/阶段/传承闭环,击败后玩家知道自己夺得了什么传承
0,death,death_regret,死亡遗憾镜头,验证死亡能制造再来一把,死亡后玩家能说出自己差在哪里
1,path,body,体修,扩展近战硬碰节奏,换道途后玩家明显改变距离选择
1,path,alchemy,丹修,扩展资源转化和毒雾玩法,玩家能通过毒雾和回复形成不同节奏
1,path,soul,邪修,扩展代价和召魂玩法,玩家能感到强但有风险
1,weapon,soul_banner,镇魂幡,验证召魂和诅咒读招,敌我魂幡都能被一眼认出
1,weather,wind,妖风,扩展弹道和符纸位移,玩家能主动借风改弹道
1,weather,snow,霜雪,扩展冻结和控场,玩家能把冰面当控制资源
2,weapon,time_mirror,时空镜,提供后期破格惊喜,玩家讨论镜像和回溯构筑
2,event,mirror_subweapon,镜中异器,制造临时副本命器玩法,玩家觉得这一局被改写而不是只加数值
