moment_id,name,trigger,visual,audio,control_feedback,ui_feedback,frequency_rule,priority,batch
hit_light,轻命中,普通攻击命中小怪,小火花或剑痕0.08秒,短促命中声,无暂停或极短暂停,小伤害数字,高频但弱,low,0
hit_heavy,重命中,第三段普攻或重击命中,明显斩痕/冲击圈,低频砰声,0.04秒命中停顿+轻震屏,伤害数字放大,每3-5秒可见,medium,0
enemy_death,敌人死亡,普通怪死亡,灵气碎裂散开,碎裂声+吸收声,无,灵气粒子飞向玩家,高频但不遮挡,medium,0
perfect_dodge,完美闪避,命中前0.25秒闪避成功,白色残影+金色反击圈,清脆叮声后低嗡,0.10秒时间冻结,完美闪避字样小弹出,精确操作才出现,high,0
chain_trigger,隐藏连锁触发,任意隐藏连锁首次或高价值触发,画面短亮+连锁特效,特殊连锁音,0.08秒慢动作,连锁发现/连锁触发标签,每房最多强调2次,high,0
weather_burst,天象爆发,裂地爆燃/积水导电/灵雨扩散,地形大面积变色爆开,环境音+属性爆音,0.12秒震屏,道势+飘字,每2-3分钟至少一次机会,high,0
reward_appear,机缘出现,清场后三选一或事件奖励,卷轴/灵光从敌人或地面浮起,清亮铃声,无,来源文案显示,每次奖励,medium,0
dao_progress,道统推进,奖励满足道统槽位,谱系槽位点亮,低频嗡声,无,道统进度+1明显显示,每次推进,high,0
dao_awaken,道统觉醒,道统槽位满,全屏道纹+慢动作,古钟共鸣,0.3倍慢动作3秒,巨字成道,一局少数,critical,0
ultimate_release,万法归一,道势满释放,全屏属性爆发,低频冲击+属性音,慢动作2秒+强震屏,金色击杀连段,一局数次,critical,0
boss_phase_break,Boss阶段击破,Boss血量到阈值,Boss裂纹光效+怒吼,阶段破裂声,0.3秒暂停+震屏,阶段名/传承光球,每阶段一次,critical,1
death_regret,死亡遗憾,玩家死亡,时间凝固+遗憾标注,低频心跳+风声,0.1倍慢动作,本局遗憾文字,每局最多一次,critical,0
