chain_id,name,difficulty,category,natural_exposure_window,required_weather,required_enemy,required_terrain,required_player_tool,seed_condition,director_strategy,payoff_requirement,ui_reveal,anti_spoil_rule,batch
C02,连环炮竹,low,enemy_enemy,first_5_runs,任意,自爆魔x2,爆炸范围可覆盖第二只自爆魔,任意击杀或引爆,自爆魔与小怪同屏且爆炸范围可覆盖第二只自爆魔,安排自爆魔同屏机会但不固定站位,连环爆炸至少击杀2个敌人,首次显示连锁发现；札记显示完整条件,不在教程明说,0
C03,护盾反噬,medium,enemy_state,first_5_runs,任意,护阵者和小怪,小怪聚在护盾范围内,优先击杀护阵者,护阵者给2个以上敌人加盾时可被击杀,提高护阵者读招清晰度并给玩家击杀窗口,护盾碎裂眩晕或爆开必须有群体反馈,首次显示连锁发现；札记显示完整条件,不提前显示反噬字样,0
C01,雷引爆,medium,weather_enemy,first_8_runs,雷暴,自爆魔,积水或雷池,雷系麻痹或天雷珠残留,雷暴房出现自爆魔且可被麻痹,安排雷暴和自爆魔同房并给雷系工具权重,爆炸范围翻倍并产生导电区,首次显示连锁发现；札记显示线索,只提示雷暴会改变爆炸,0
C10,灵泉吞噬,medium,dao_weather,first_8_runs,灵雨,任意,灵泉,道势满值,道势满值时站在灵泉上,道势接近满值时提高灵泉出现概率,灵泉被吸收并延长道势爆发,首次显示连锁发现；札记显示完整条件,不提示精确道势阈值,0
C20,万符齐发,medium,weapon_field,first_8_runs,任意,任意,足够空地承载落地符,符修同场5符,符修在场上同时存在5张以上落地符,符修前几局提高起符和连符奖励权重,所有符同时引爆且范围叠加,首次显示连锁发现；札记显示完整条件,不在法修或剑修教程中暴露,0
C23,天雷接地,medium,weather_terrain,first_10_runs,雷暴或灵雨,任意,积水,雷系残留,雷暴或雨天出现积水和雷系残留,安排积水和雷系残留共存但不强制命中,整片积水导电并击中多个敌人,首次显示连锁发现；札记显示线索,只提示积水会导电,0
C24,剑火合一,high,weapon_weather,first_10_runs,烈阳,灼烧敌人,烈阳裂地,剑修第三段剑芒,剑修第三段经过烈阳裂地并命中灼烧敌人,给剑修烈阳房和灼烧奖励权重但不自动触发,剑芒和裂地双重爆炸；屏幕短震,首次显示连锁发现；札记显示部分条件,不在首局强制触发,0
C22,道势逆流,auto,death_edge,first_10_runs,任意,任意,任意,濒死且道势满值,生命低于10%时道势恰好满值,只在濒死时显示道势将满的强反馈,免死一息并全屏击退但道势归零,首次触发显示逆命一息,不提前写成保命教程,0
C04,风火龙卷,low,weather_projectile,first_12_runs,妖风,任意,风眼,火系弹道或火法奖励,妖风房给火系弹道或火法奖励,批次1解锁妖风后安排风眼和火弹共存,弹道形态必须明显变成旋风并穿线,首次显示连锁发现；札记显示完整条件,只提示风眼会改弹道,1
C21,灵宠共鸣,low,pet_combat,first_12_runs,任意,任意,任意,灵宠协同,灵宠和玩家同时命中同一敌人,灵宠系统上线后才进入抽取池,敌人被明显标记并受伤提高,首次显示连锁发现；札记显示完整条件,宠物提示不说数值,1
C11,天象双绝,extreme,dao_weather,lategame,任意双天象,任意,天象切换边界,万法归一,万法归一释放瞬间天象变化,只在后期混合天象房提高出现概率,必须双色全屏爆发并强化大招,札记只显示难度和模糊诗句,不暴露精确时间条件,1
C19,毒雾雷引,extreme,build_weather,lategame,雷暴或灵雨,任意,毒雾区,雷系攻击,毒雾区被雷系攻击命中,万毒流和雷系工具共存时提高雷雨权重,毒雾导电麻痹全域；高价值清屏,札记只显示难度和模糊诗句,不提前显示毒雾可导电,1
